## System ID,Tag Name,Retentive Mode,Initial Value,MODBUS Start Address,MODBUS End Address,Number of Characters,Number of Rows,Number of Columns,Wiring Label,Comment,Forceable,Init Forced,Init Force Value,Remote Access,I/O Address,Data Type,Structure Type,BOW Details
## 3.0
S32-000021,"MFC1_H2_SP_sccm",false,"0",400007,400008,,,,,,false,false,"0",false,,"S32",,false
AIS32-0.1.5.2,"MFC2_N2_plasma_PV",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.2","AIS32",,false
S32-000018,"MFC2_N2_plasma_PV_sccm",false,"0",400011,400012,,,,,,false,false,"0",false,,"S32",,false
AOS32-0.1.6.2,"MFC2_N2_plasma_SP",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.2","AOS32",,false
S32-000211,"MFC2_N2_plasma_SP_before_lim",false,"0",,,,,,,,false,false,"0",false,,"S32",,false
S32-000022,"MFC2_N2_plasma_SP_sccm",false,"0",400017,400018,,,,,,false,false,"0",false,,"S32",,false
S32-000212,"MFC2_high_lim",false,"0",,,,,,,,false,false,"0",false,,"S32",,false
S32-000213,"MFC2_low_lim",false,"0",,,,,,,,false,false,"0",false,,"S32",,false
AIS32-0.1.5.3,"MFC3_Ar_PV",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.3","AIS32",,false
AOS32-0.1.6.3,"MFC3_Ar_SP",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.3","AOS32",,false
S32-000218,"MFC3_Ar_SP_before_lim",false,"0",,,,,,,,false,false,"0",false,,"S32",,false
S32-000019,"MFC3_Ar_plasma_PV_sccm",false,"0",400013,400014,,,,,,false,false,"0",false,,"S32",,false
S32-000023,"MFC3_Ar_plasma_SP_sccm",false,"0",400019,400020,,,,,,false,false,"0",false,,"S32",,false
AIS32-0.1.5.4,"MFC4_ALD_purge_PV",false,"0",,,,,,,,false,false,"0",false,"AIS32-0.1.5.4","AIS32",,false
S32-000020,"MFC4_ALD_purge_PV_sccm",false,"0",400015,400016,,,,,,false,false,"0",false,,"S32",,false
AOS32-0.1.6.4,"MFC4_ALD_purge_SP",false,"0",,,,,,,,false,false,"0",false,"AOS32-0.1.6.4","AOS32",,false
S32-000219,"MFC4_ALD_purge_SP_before_lim",false,"0",,,,,,,,false,false,"0",false,,"S32",,false
S32-000024,"MFC4_ALD_purge_SP_sccm",false,"0",400021,400022,,,,,,false,false,"0",false,,"S32",,false
MST-0.0.0.1,"MST-0.0.0.1",false,"0",,,,,,,"RS232 Heartbeat Timeout Bit",false,false,"0",false,"MST-0.0.0.1","MST",,false
MST-0.0.0.2,"MST-0.0.0.2",false,"0",,,,,,,"RS232 Port Buffer Full Bit (95% Full)",false,false,"0",false,"MST-0.0.0.2","MST",,false
